date,Agric,Food ,Chems,Rubbr,Txtls,Steel,FabPr,Aero ,Ships,Gold ,Mines,Coal ,Oil  ,Util ,Autos
19810327,0.02,-0.39,-1.05,-0.86,-0.23,-0.11,-1.03,-0.86,0.01,-1.73,-1.2,-0.42,-1.27,-0.56,-2
19810330,-0.36,0.04,-0.09,-0.17,-0.41,-0.37,-0.57,-0.03,-1.96,-3.64,0.29,-1.05,-0.81,-0.06,0.04
19810331,0.49,0.78,0.74,1.12,1.94,1.09,1.23,0.66,1.25,0.26,1.53,2.69,1.24,0.49,1.16
19810401,0.51,0.13,0.5,-0.08,0.9,0.67,1.77,0.42,-0.6,0.55,1.07,-2.22,0.76,0.59,0.73
19810402,0.14,0.02,0.16,0.88,-0.18,-0.96,-0.47,-0.71,-1.32,0.64,1.75,0.36,-0.58,0.27,-0.8
19810403,0.35,-0.41,-0.65,0.2,0.81,-0.77,-1.02,-0.38,-1.8,2.75,-1.82,-0.27,-0.61,-0.42,-0.15
19810406,-0.76,-0.6,-1.57,-0.53,0.22,-1.16,-1.61,-0.99,-1.03,0.32,-1.87,-0.93,-1.17,-0.58,-1.48
19810407,-0.64,0.44,-0.24,0.36,0.4,-0.28,-0.09,-0.53,1.01,-3.42,-1.02,-0.08,-0.24,-0.3,1.12
19810408,0.43,0.34,-0.33,0.61,1.86,0.18,-0.05,0.08,-0.32,0.04,-1.12,0.28,-0.03,-0.06,0.3
19810409,1.8,0.69,0.01,0.48,1.2,0.89,0.96,0.43,-0.6,-2.39,0.74,-0.51,-1.78,-0.28,0.82
19810410,1.16,0.3,0.37,0.8,0.08,0.83,-0.21,0.2,0.04,0.35,-0.21,3.6,-1.61,-0.17,0.08
19810413,-0.53,-1.04,-1.02,-0.49,0.12,-0.8,-0.81,-0.55,0.1,-2.52,-1.69,-0.19,-2.48,-0.94,-0.65
19810414,-0.88,-0.37,-0.67,-0.4,-0.16,-0.33,0.11,-0.18,0.39,-0.14,-1.67,-1.25,-0.53,-0.59,-0.25
19810415,0.86,1.12,1.49,1.46,1.1,1.32,0.14,3.14,3.28,0.86,1.5,0.14,1.37,0.49,0.18
19810416,0.22,0.82,0.94,0.04,0.67,0.51,1.05,0.59,1.48,1.38,0.31,1.82,0.21,0.77,0.19
19810420,1.11,0.63,0.64,-0.01,0.4,0.32,1.31,1.03,2.76,1.1,-0.49,-0.22,-0.49,0.48,1.44
19810421,-0.21,0.07,-1.43,0.18,0.48,-1.22,0.38,-1.05,0.25,1.62,-1.06,0.02,-2.79,-0.47,1.15
19810422,0.34,0.32,-0.3,-0.2,1.03,0.12,1.41,-0.79,-1.86,-0.11,-1.29,-1.23,-0.93,-0.71,1.25
19810423,1.36,0.64,0.5,1.77,0.9,0.02,0.98,0.77,-1.22,-0.19,-2.29,-2.15,-1.56,-0.15,2.69
19810424,1.75,0.26,0.63,0.63,0.78,0.54,-0.07,0.84,1.09,-0.92,-1.64,0.93,1.78,0.11,0.3
19810427,0.82,-0.18,0.6,-0.31,0.76,0.16,-1.01,0.8,-2.15,-0.49,1.52,-0.16,0.83,0.17,-0.77
19810428,-0.75,-0.79,-0.88,-0.55,-1.45,-0.74,-0.66,-0.89,1.34,-0.73,-0.12,-1.89,0.05,-0.56,-1.53
19810429,-2.6,-1.19,-1.31,-0.54,0.31,-0.88,-1.1,-1.18,-0.39,-0.71,-0.66,-1.21,0.38,-0.34,-1.68
19810430,-0.18,-0.77,0.28,-0.02,-0.02,0.01,-0.14,0.11,0.09,2.82,0.32,-1.27,1.45,-0.01,-1.1
19810501,-0.04,-0.15,-0.06,0.06,-0.36,-0.4,-0.24,-0.94,-0.09,-0.01,0.16,1.63,0.55,-0.18,-0.11
19810504,-2.6,-1.26,-1.69,-2.08,-1.39,-1.36,-2.21,-2.23,-1.71,-1.17,-4.65,-1.98,-1.13,-1.18,-1.94
19810505,-1.8,-0.62,-0.96,0.61,-0.28,-0.74,-0.63,-0.94,-2.33,-0.63,1.48,0.14,1.18,-0.52,-1.31
19810506,0.63,-0.01,0.61,0.34,-0.08,-0.01,0.7,0.12,2.46,-0.23,-1.71,-0.11,1.47,0.33,0.68
19810507,0.01,0.95,0.86,0.62,0.54,0.07,0.01,0.44,-0.34,3.97,1.96,0.29,1.19,0.67,1.56
19810508,0.56,0.13,-0.23,-0.35,1.05,0.47,1.32,0.59,-2.1,0.49,-0.25,-0.28,-0.41,0.46,0.16
19810511,-0.36,-1.04,-1.38,-0.45,-2.16,-0.73,-0.54,-1.13,-1.21,0.26,-0.54,-1.05,-2.95,-0.19,-1.25
19810512,-0.08,0.22,1.01,0.16,1.68,0.48,-0.29,0.15,0.66,2.23,-0.34,0.59,0.61,0.85,1.81
19810513,1.85,0.52,0.1,0.57,-0.47,0.25,0.61,0.24,0.33,-1.21,1.28,0.46,-0.99,0.97,0.37
19810514,1.24,0.19,0.31,0.35,0.43,0.78,0.04,0.81,0.28,1.35,1.16,2.97,0.75,0.65,0.64
19810515,1.4,0.63,1.21,0.58,0.14,0.33,0.15,1.39,1.24,0.82,0.35,0.4,0.76,0.27,0.12
19810518,0.22,0.04,-0.08,0.29,0.15,-0.06,0.58,-0.18,1.49,-1.02,0.12,-0.6,-0.27,0.06,0.32
19810519,-0.95,-0.45,-0.43,-0.47,0.52,-0.48,-0.15,0.07,-0.6,0.47,0.27,2.4,-0.63,-0.43,0.14
19810520,0.44,-0.17,-0.73,0.12,-0.37,-0.47,1.66,1.05,-0.64,-0.87,0.85,-0.02,0.21,-0.06,-0.13
19810521,2.56,0.17,-0.33,-0.63,-0.42,-0.05,0.07,-0.3,0.7,-2.39,-0.83,-0.39,-0.34,-0.13,-0.64
19810522,0.38,0.1,0.21,1.25,0.15,0.23,-0.34,0.23,0.53,-0.8,-0.84,0.58,-0.25,0.21,-0.87
19810526,-0.35,0.54,0.68,0.58,0.25,0.33,0.1,0.05,0.82,-2.13,-0.24,-0.52,1.77,0.51,1.46
19810527,1.35,0.55,0.53,0.6,1.22,0.99,2.17,0.2,-0.61,0.19,0.98,-0.86,-0.88,0.02,1.85
19810528,0.96,0.62,-0.46,0.62,0.01,0.14,0.6,0.5,-0.03,2.53,1.45,-0.17,-2.26,-0.15,0.63
19810529,-0.39,0.53,-0.48,0.72,0.09,-0.2,0.03,-0.76,-0.65,0.35,-1.36,-3.17,-2.3,-0.33,-0.51
19810601,0.72,0.64,0.32,1.53,-0.72,0.29,-0.03,0.34,-0.44,-1.05,-0.79,-0.59,-1.66,0.08,1.02
19810602,-1.27,-0.36,-1.24,-0.49,-0.71,-0.5,-0.38,-2.7,-0.37,-2.51,-1.93,-1.71,-2.39,-0.87,-1.18
19810603,0.39,0.27,0.15,0.19,0.4,-0.48,-0.51,-0.18,1.98,-1.68,-0.7,1.12,0.26,-0.58,0.91
19810604,-1.04,-0.09,0.34,0.13,-0.18,-1.53,-0.63,0.22,0.47,-3.23,-0.75,3.32,1.12,-0.18,0.07
19810605,-0.3,0.42,1.39,0.36,0.32,-0.75,0.4,1.47,0.81,-6.09,1.93,-0.51,2.23,0.68,1.02
19810608,0.21,0.18,0.08,-0.38,-0.37,-0.15,-0.3,0.68,-1.48,2.08,-0.01,0.3,-0.48,0.48,0.17
19810609,-0.09,-0.38,-0.19,-1.16,-0.03,-0.73,-0.56,-0.95,-0.11,1.59,-1.35,-0.89,0.48,0.21,-0.85
19810610,1.26,0.15,0.18,0.37,0.8,0.38,1.27,0,-0.57,0.8,0.32,0.8,0.53,1.25,-0.7
19810611,1.12,0.66,1.43,0.56,0.63,1.27,2.75,1.08,1.93,0.69,0.18,1.2,0.24,1.64,1.16
19810612,0.16,-0.01,0.48,0.66,0.19,0.12,-0.43,1.21,0.64,0.5,-0.71,0.27,-1.52,0.9,0.6
19810615,-0.16,-0.14,0.41,0.23,0.36,0.18,-0.63,0.94,1.96,-2.09,-1.61,0.34,-1.63,2.09,1.82
19810616,-1.54,-0.53,-1.59,-1.13,-0.12,-1.66,-1.11,-0.85,-3.11,-1.95,-1.46,-1.56,-1.11,-0.65,-1.08
19810617,-0.47,-0.13,0.95,-0.03,0.55,0.1,-0.55,-0.31,0.71,0.3,1.32,-0.42,4.36,-0.06,0.01
19810618,-0.77,-0.42,-0.86,-0.66,-1.57,-1.01,-0.07,-1.79,-0.16,-0.95,-1.44,-0.8,-1.22,-0.86,-1.37
19810619,0.21,0.28,0.34,-1.16,0.22,0.51,-0.2,-0.74,-1.97,-1.3,2.19,-0.01,2.59,0.26,-0.33
19810622,0.82,0.18,0.1,0.04,-0.24,-0.1,-0.56,-0.89,0.29,1.25,-1.81,-0.36,-0.11,0.17,-0.92
19810623,0.73,0.88,1.82,0.81,1.52,0.63,-0.18,0.89,1.64,0.86,3.73,2.56,1.55,1.06,0.75
19810624,-0.65,-0.49,-0.85,-0.36,-0.56,-0.68,1.79,-0.5,-1.49,-3.01,0.83,-0.93,-0.42,-0.75,-0.89
19810625,0.36,-0.47,0.02,0.22,-0.24,0.09,1.32,0.18,-1.07,-4.05,0.41,0.63,1.72,-0.16,-1.07
19810626,1.16,-0.5,0.18,-0.88,-0.13,-0.35,-0.57,-0.68,-0.06,1.75,0.72,-0.42,0.21,-0.44,0.52
19810629,0.36,-0.42,-0.6,-0.17,-0.01,-0.72,-0.4,-0.26,-0.1,-4.29,5.93,-1.08,-0.13,-0.04,-1.62
19810630,-1.36,-0.28,-0.57,-1.13,-0.39,-0.88,-1.92,0.09,-0.81,0.91,-0.91,0.03,0.35,-0.74,-0.7
19810701,-0.02,-1.24,-1.33,-1.1,-1.5,-0.47,-0.36,-0.45,-0.42,1.14,-0.73,-1.9,-0.57,-0.64,-0.57
19810702,-1.21,-0.77,-1.21,-1.36,-0.23,-1.13,-0.38,-0.67,-1.67,2.46,-0.55,0.54,-0.89,-0.3,-0.9
19810706,-0.89,-1.15,-3.02,-1.72,-1.67,-1.25,-0.55,-1.82,-2.89,-1.56,-1.37,-0.98,0.4,-0.61,-1.73
19810707,-1.08,0.25,0.09,-0.98,-0.15,0.06,-1.1,-0.89,-0.81,0.01,2.75,1.43,2.39,0.34,-1.48
19810708,1.27,0.27,0.44,0.22,0.26,-0.5,0.51,-0.7,-1.42,-0.77,1.55,3.82,0.66,0.61,0.03
19810709,0.34,0.18,0.57,0.57,0.47,0.54,1.59,0.44,-0.89,4.31,1.06,6.87,1.41,0.6,0.02
19810710,0.19,-0.3,0.5,0.11,-0.45,-0.42,1.98,0.32,-0.69,1.02,0.26,1.21,0.05,0.49,-0.31
19810713,0.97,0.1,-0.13,-0.19,-0.12,0.32,0.09,-0.32,0.14,-0.59,0.52,2.03,0.77,0.5,-0.1
19810714,0.79,-0.2,-0.19,-0.11,-0.48,-0.78,-0.89,-1.13,0.42,2.78,1.18,2.27,1.1,-0.18,-0.1
19810715,2.06,0.36,0.59,1,-0.46,0.9,1.56,0.21,1.54,2.72,-0.01,-1.97,0.42,0.72,-0.02
19810716,1.38,0.66,0.71,-0.76,0.57,0.18,2.98,0.07,0.61,1.42,0.02,-2.89,0.07,-0.01,-0.62
19810717,-0.56,0.08,0.39,0.41,1.37,1.22,-0.82,-0.35,-1.52,1.83,-0.01,-2.37,0.55,0.38,0.93
19810720,-1.97,-1.01,-1.59,-1.64,-0.31,-1.12,-1.28,-2.11,-2.73,-4.25,-0.88,-1.5,-1.38,-1.35,-1.99
19810721,-1.56,-0.47,-0.47,-0.14,-1.12,-0.1,-0.97,-0.22,-1.41,-0.08,-0.78,0.99,0.19,-0.41,-0.98
19810722,-0.45,-0.33,-0.91,0.21,-1.52,-0.97,0.47,-0.27,-1.94,-0.08,-0.13,-1.44,-1.5,-0.25,-0.06
19810723,-0.34,0.16,-0.05,0.76,-0.09,-0.03,-0.41,-0.09,-0.02,-0.83,0.93,-0.87,0.8,-0.08,0.09
19810724,0.86,0.96,1.04,0.68,0.64,1.08,0.03,-0.06,0.27,1.04,0.27,1.66,0.94,0.85,0.89
19810727,-0.2,0.56,0.45,0.82,0.7,1.02,-0.11,0.75,-0.14,-1.73,0.01,-1.18,1.61,1.08,0.92
19810728,-0.17,-0.8,-0.75,-0.6,-0.44,-0.63,-0.03,-1.46,-0.53,-1.73,-1.04,0.68,-0.59,-0.13,0.27
19810729,-0.08,0.03,-0.21,-0.16,-0.18,0.5,1.09,-0.23,0.71,-1.11,-0.46,0.36,-0.13,0.36,-0.12
19810730,0.58,1.15,0.52,0.57,1.29,0.69,0.33,1.16,1.66,-0.51,0.08,1.69,0.69,0.17,1.18
19810731,-0.15,0.59,0.7,2.38,0.46,1.13,0.97,1.01,3.13,1,1.74,0.61,0.74,0.68,1.23
19810803,-0.19,-0.75,-0.1,-1.49,-0.32,-0.82,-1.09,-0.23,-1.4,-2.64,0.91,0.86,0.31,-0.01,-0.86
19810804,-0.26,-0.18,0.56,-0.31,-0.34,-0.13,0.16,0.51,0.41,0.05,0.59,2.39,1.3,-0.02,-0.38
19810805,0.53,0.11,1.42,1.07,0.13,1.12,1.35,1.88,1.5,4,3.87,2.08,2.36,0.54,-0.36
19810806,0.58,0.04,0.37,0.4,-0.02,0.08,1.99,0.91,1.44,4.85,-0.16,-1.6,-0.02,0.8,0.3
19810807,0.71,-0.17,-0.32,-0.89,-0.35,-0.67,-0.07,-2.17,-2.65,-1.28,-0.99,-0.58,-0.28,0.15,-1.13
19810810,-0.71,-0.39,-0.36,0.35,-0.02,-0.21,-0.14,-0.25,-0.34,0.37,-0.56,0.06,1.18,0.98,-0.72
19810811,0.5,0.19,0.29,-0.72,-0.08,-0.09,0.17,0.7,-0.91,2.99,1.57,-1.35,1.36,2.07,0.82
19810812,0.28,-0.31,0,0.21,0,-0.15,0.63,0.18,-1.87,0.7,-0.84,-1.21,-0.38,0.19,-0.57
19810813,-0.59,0.37,0.17,-0.12,0.46,-0.18,0.52,-0.06,1.12,-0.43,1.48,0.45,0.25,0.05,0.37
19810814,-0.07,-0.3,-0.62,0.08,-0.44,-0.46,0.35,-0.52,-0.74,-0.91,0.36,-1.38,-1.07,-0.34,-0.56
19810817,-0.99,-0.71,-0.75,-0.34,-1.32,-0.55,0.28,-1.74,-0.01,-0.72,-0.64,1.15,-0.49,-0.55,-0.65
19810818,-1.14,-0.83,-0.51,-1.78,-1.13,-0.29,-0.63,-0.9,-0.91,4.47,-1.26,-1.51,-1.98,-0.99,0.1
19810819,0.27,0.35,0.19,1.26,-0.03,0.08,0.05,0.29,1.26,1.87,-0.39,-0.87,0.37,-0.07,0.24
19810820,0.34,0.11,0.31,-0.41,1.05,0.8,-0.22,-0.2,0.02,-0.53,1.51,-0.73,0.3,0.02,-0.66
19810821,-0.48,-1.01,-0.59,-0.49,-0.43,-0.37,-0.72,-1.39,-1.92,-0.58,-0.65,-1.37,-2.02,-0.3,-0.57
19810824,-3.48,-1.5,-3.1,-2.28,-1.7,-2.46,-2.36,-2.07,-2.6,-3.58,-3.3,-4.48,-4.8,-2.37,-2.45
19810825,-1.49,-0.12,-0.2,-0.49,-1.53,-0.92,-2.68,-1.08,-0.4,-1.12,0.74,-0.46,0.28,-1.09,0.12
19810826,-0.18,0.18,-0.58,-0.89,-0.29,-0.37,-0.01,-0.46,-0.49,0.59,-0.53,0.59,-0.11,0.24,0.17
19810827,-0.18,-0.73,-1.27,-0.67,0.06,-1,0.2,-1.86,-2.61,0.11,-2.51,-2.57,-1.83,-0.24,-1.18
19810828,0.66,0.64,-0.19,-0.42,-0.17,0.42,-0.4,-0.25,-1.07,2.56,0.91,0.06,0.43,0.54,0.57
19810831,-0.37,-0.14,-1.28,-1.61,-0.6,-1.47,-3.18,-2.78,-3.59,-1.68,-1.79,-2.41,-1.41,-0.36,-1.91
19810901,-0.02,0.03,0.09,0.01,0.01,-0.21,-1.29,-0.86,0.22,-0.51,0.02,-0.49,0.8,-0.23,0.68
19810902,1.32,0.66,-0.25,-0.65,0.32,0.87,0.57,1.22,1.81,3.01,0.82,0.24,0.48,-0.02,0.59
19810903,-0.88,-1.08,-2.86,-0.41,-1,-1.95,-0.16,-2.07,-3.85,1.91,-2.41,-1.51,-2.59,-0.97,-1.88
19810904,-1.28,-0.64,-0.43,-2.41,-0.9,-0.5,-1.97,-0.99,1.08,-1.5,-0.22,-2.04,-1.33,-1.45,-0.42
19810908,-1.96,-1.51,-2.07,-1.75,-1.91,-2.14,-2.56,-1.88,-0.57,-3.17,-1.92,-2.65,-2.75,-1.61,-1.01
19810909,-0.38,0.18,1.12,-0.8,0.35,0.47,-0.41,0.82,0.35,-0.22,-0.53,2.24,-0.29,0.3,-0.3
19810910,0.51,0.69,1.32,1.94,1.55,1.15,0.51,2.45,2.97,2.6,1.16,2.12,2.35,1.24,1.19
19810911,-0.43,0.87,0.89,1.17,0.86,1.26,0.95,2.3,1.99,1.6,0.98,3.71,1.14,1.22,1.34
19810914,0.47,-0.23,-0.9,0.64,0.73,-0.85,1.09,-1.05,0.79,0.74,-0.82,-2.22,-1.67,-0.73,-0.2
19810915,-0.77,-0.25,-0.33,0.05,-0.06,-0.71,0.14,0.15,-0.25,-3.55,-1.06,-1.92,-1.42,-0.38,-0.09
19810916,-0.93,-0.35,-1,-0.57,-0.12,-1.19,-2.19,-0.21,-1.69,-3.61,-1.35,-0.81,-1.15,-0.57,-0.96
19810917,-1.53,-1.27,-1.45,-0.76,-0.81,-1.44,-0.77,-2.24,-1.82,-5.99,-2.25,-3.47,-2.19,-0.91,-1.13
19810918,-1.28,0.18,-0.81,-1.04,-0.48,-0.9,-3,-1.29,0.63,-2.35,-1.95,-1.59,-1.76,-0.57,-0.87
19810921,-0.44,-0.06,0.57,-0.13,0.82,0.54,-1.67,0.13,-0.6,5.24,-0.19,1.01,0.18,0.63,-0.82
19810922,-0.41,0.16,-1.29,-0.87,1.25,-0.89,-0.96,-0.29,-0.69,0.4,-0.58,-0.81,-1.08,0.15,-0.95
19810923,-2.46,-0.8,-1.09,-1.61,-2.39,-2.23,-1.5,-1.04,-1.49,-1.91,-2.56,-1.97,-1.25,-1.19,-0.68
19810924,0.91,-0.2,-0.9,-0.33,-0.54,-1.28,-0.46,-1.41,-3.53,-2.73,-1.58,-0.76,-0.87,0.21,-1.26
19810925,-2.08,-1.8,-2.25,-2.25,-0.8,-2.57,-3.3,-3.11,-2.83,-5.19,-2.94,-5.65,-3.3,-1.74,-1.58
19810928,1.78,0.4,1.95,-0.44,-0.27,1.44,-0.41,2.03,2.12,0.7,2.77,5.63,3.72,-0.15,2.24
19810929,5.42,1.75,0.18,2.72,0.99,1.75,3.45,1.94,0.41,0.39,3.7,1.34,0.21,0.99,1.07
19810930,2.05,-0.03,0.3,0.77,0.26,-0.35,2.11,0.84,-0.06,-0.28,1.1,0.87,-0.1,0.14,1.14
19811001,0.75,0.3,0.7,0,0.12,0.21,0.71,0.4,1.91,0.44,2.01,4.58,2.16,-0.1,-0.13
19811002,0.96,1.68,1.97,2.69,0.87,1.65,1.44,1.83,2.28,0.79,3.19,2.05,3.65,1.27,2.09
19811005,-0.05,0.86,0.36,0.02,0.9,0.91,1.51,0.54,1.23,0.61,-1.49,-2.26,-0.01,0.68,0.43
19811006,0.96,-0.37,-0.23,0.07,-1.04,0.23,2.64,-0.95,2.19,7.4,0.15,1.6,1.77,0.41,-1.99
19811007,1.32,1.67,1.57,2.11,2.11,2.18,1.95,1.35,2.19,-2.12,2.02,3.04,1.24,0.88,1.14
19811008,1.2,0.54,0.83,1.14,-0.55,0.9,2.06,2.92,1.04,1.77,3.01,0.38,-0.28,0.3,0.06
19811009,-0.65,-0.14,-1.11,-0.01,0.68,-0.5,-0.5,-1.19,-0.98,-0.82,-2.37,1.89,-1.64,0.18,-0.53
19811012,-0.18,-0.19,-0.3,-0.47,-0.12,-0.78,-2.32,-0.87,-1.39,-0.85,1.09,-1.08,-0.17,-0.13,-1.55
19811013,-0.42,0.63,-0.03,0.14,0.1,-0.83,0.46,-0.54,-2.46,-0.38,-1.75,0.57,-0.09,-0.16,-0.4
19811014,-1.75,-0.83,-1.64,-0.12,-1.08,-2.25,-0.32,-1.33,0.31,-1.09,-2.52,-2.47,-1.9,-0.96,-2.02
19811015,0.14,0.57,0.16,-0.21,1.01,0.44,-0.55,1.73,2.15,0.46,1.62,2.49,1.11,0.1,0.44
19811016,0.91,0.14,-0.47,0.03,0.45,-0.29,-0.5,0.48,-0.63,-0.68,-2.51,-1.65,-0.47,-0.28,-0.84
19811019,-1.08,-0.4,-0.32,0.78,0.09,-0.78,-0.89,1.86,-0.1,-2.03,1.01,-0.71,-0.35,-0.09,-1.23
19811020,1.12,1,1.07,0.14,1.31,0.83,0.63,1.06,0.07,-0.45,0.14,1.8,1.64,0.8,0.91
19811021,0.17,1.1,0.21,-0.17,0.28,-0.01,0.65,0.78,-0.35,-2.88,-2.25,-0.44,-0.26,-0.07,-0.31
19811022,0.67,-0.91,-0.13,0.03,-0.87,-1.13,0.73,-0.02,-0.52,-1.22,-1.29,-0.7,0.15,-0.21,-0.82
19811023,-0.7,-0.29,-0.6,0.01,-0.44,-0.93,-0.09,-1.84,-0.63,-1.1,-1.75,1.73,-0.97,-0.38,-1.66
19811026,-0.13,-0.34,-0.31,-0.32,-0.18,-1.05,-0.52,-0.76,0.95,-1.51,-1.32,1.46,-0.17,-0.43,-2.76
19811027,0.73,1.5,0.71,-0.2,0.72,1.2,3.04,1.28,0.19,1.5,1.84,0.82,1.28,0.75,-0.82
19811028,1.09,0.76,0.32,-0.16,0.58,0.26,1.14,0.19,-1.01,-3.04,-0.2,0.4,0.36,0.54,-1.08
19811029,0.02,-0.44,0.31,0.39,-0.36,-0.56,-0.4,-0.39,1.76,-2.52,-1.06,-2.08,-0.55,0.03,0.12
19811030,1.53,1.08,3.03,0.88,1.29,1.81,3.09,0.42,3.06,1.42,4.68,1.87,3.18,1.7,2.04
19811102,2.8,1.63,1.92,1.02,1.27,1.8,2.33,1.43,1.1,0.28,2.11,2.27,2.98,1.66,3.18
19811103,0.06,0.23,0.46,0.48,-0.15,0.03,-1.14,0.44,-0.18,2.81,1.15,0.05,0.61,-0.01,0.77
19811104,1.86,-0.31,0.4,-0.04,0.28,1.03,0.01,-0.01,0.6,-0.7,1.84,0.76,0.11,0.28,0
19811105,0.61,-0.35,-0.78,-0.46,-0.06,-0.16,0.07,-0.75,0.98,1.09,0.17,0.45,-1.02,0.15,-2.25
19811106,-0.28,0.01,-0.78,0.06,-0.48,-0.92,0.86,-1.66,-1.86,1.67,-1.77,-0.54,-0.4,-0.16,0.11
19811109,-0.21,0.16,-0.31,0.06,-0.36,-0.8,-0.03,-0.97,-1.77,-1.75,-2.5,0.03,0.23,1.46,0.87
19811110,-0.91,0.36,-0.68,-0.06,-0.17,-0.41,-0.37,-0.07,0.86,-2.99,-3.25,-1.9,-1.09,0.38,-0.72
19811111,0.9,-0.2,0.35,-0.07,0,0.42,0.03,0.02,-0.02,-1.13,1.24,0.98,-0.47,-0.19,0.51
19811112,-0.66,0.36,-0.26,0.28,-0.07,0.93,0.11,0.65,0.29,0.84,0.63,1.08,-0.04,0.99,0.56
19811113,-0.57,-1.27,-0.28,-0.07,0.25,-0.94,-0.34,-2.28,-2.18,-2.16,-1.28,-1.71,-1.77,-0.27,-1.91
19811116,-0.68,-1.03,-0.99,-1.75,-1.33,-1.3,-1.59,-1.53,-1.67,-4.24,-2.95,-3.44,-1.2,-0.45,-1.69
19811117,-1.03,0.25,0.09,0.56,-0.3,0.26,-0.28,0.7,0.24,0.15,0.37,0.7,1.08,0.27,0.4
19811118,1.07,-0.01,-0.88,-0.07,-1.35,-0.09,0.39,-0.04,-0.87,-0.95,-0.84,-1.65,-0.83,0.1,-0.39
19811119,-0.45,-0.03,0.06,0.32,0.84,-0.99,-0.95,-0.37,-1.03,-0.6,2.22,0.01,2.42,0.11,-0.48
19811120,0.37,0.24,0.44,1.05,0.9,0.89,0.32,1.76,0.14,-0.88,1.85,1.31,1.23,0.34,0.33
19811123,-0.11,-0.13,0.43,-0.41,-0.01,-0.13,0.4,-0.59,-1.65,-2.77,0.41,2.4,0.38,-0.31,0.58
19811124,0.55,0.45,1.64,0.12,0.66,2.82,0.73,1.42,1.19,4.36,2.33,1.49,1.62,0.53,1.82
19811125,0.3,0.57,0.64,1.04,-0.08,-0.01,-0.6,0.07,-0.15,2.91,-0.83,0.47,0.17,0.14,0.36
19811127,-0.01,0.58,0.97,-0.04,0.28,1.23,0.68,-0.15,0.15,2.71,0.89,0.84,0.98,0.42,0.99
19811130,0.16,0.48,1.44,0.38,0.16,0.74,1,0.4,0.47,0.42,2.77,1.83,1.81,0.37,-0.08
19811201,-0.03,0.25,0.49,-0.15,0.31,0.48,0.71,0.39,-0.27,-2.01,2.15,0.02,-0.94,-0.55,2.59
19811202,-0.37,-0.57,-0.6,-0.06,-0.49,-1.5,0.05,-0.18,0.05,2.91,-2.45,-1.09,-1.42,-0.56,-1
19811203,0.41,0.26,0.12,-0.55,0.26,0.52,-0.16,-0.03,1.46,-0.13,0.18,-0.08,0.81,0.16,-0.27
19811204,1.15,0.4,1.25,1.18,0.83,0.23,1.21,0.71,1.8,2.15,2.79,0.73,0.83,0.74,1.11
19811207,-0.55,-0.05,-0.63,-0.63,-0.99,-0.47,-0.28,0.5,-0.5,-3.08,-1.6,-0.97,-0.98,-0.23,-1.02
19811208,-0.18,0.18,-0.98,-0.65,0.1,-0.3,-0.01,1.35,1.9,-0.72,-0.52,-1.08,-0.75,-0.06,-0.06
19811209,0.3,0.06,0.5,-0.37,0.48,0.1,0.44,-0.53,2.74,-0.36,1.33,-0.68,1.09,0.28,1.33
19811210,1.07,0.29,0.04,-0.33,1.02,0.86,1.09,-0.61,-0.87,-0.35,1.37,1.45,-0.36,0,1.02
19811211,0.44,-0.17,-0.89,-0.1,-0.34,-0.78,-0.27,-0.61,-1.7,-0.19,-1.88,0.22,-0.53,-0.42,-0.5
19811214,-1.89,-1.23,-1.47,-2,-1.59,-1.53,-0.74,-2.13,-1.11,0.73,-1.93,-1.18,-1.87,-1.14,-2.3
19811215,0.51,0.33,0.1,0.2,-0.18,-0.17,2.1,0.38,-1.46,1.64,-3.33,0.02,-0.3,0.02,0.04
19811216,-0.22,-0.08,-0.53,0.1,-0.02,-0.23,-0.37,0.27,1,1.62,1.48,-1.66,-0.44,-0.59,-0.31
19811217,-0.91,0.76,0.62,0.01,0.14,-0.32,-0.45,0.52,2.92,-1.09,1.23,0.18,0.5,-0.18,0.53
19811218,0.35,1.39,0.92,0.51,0.76,0.17,-0.85,1.39,0.78,-0.82,0.19,-1.28,-0.13,0.55,1.41
19811221,-0.94,-0.1,-0.32,-0.69,0.13,-0.45,-0.12,-0.54,0.08,-2.42,-3.46,-1.63,-0.73,-0.27,-0.25
19811222,1.55,-0.89,-0.83,0.86,0.03,-0.29,-0.35,-0.85,-1,-2.31,-0.76,-0.72,-0.71,0.01,-0.32
19811223,-0.46,-0.4,-0.3,0,-0.33,0.17,0.03,-1.19,-1.16,1.16,1.15,0.96,-0.2,-0.37,-0.32
19811224,-0.23,0.58,0.39,-0.52,0.26,0.45,0.28,0.27,-0.45,0.11,-0.66,0.34,0.21,0.28,0.91
19811228,0.49,-0.58,-0.45,0.17,-0.24,-0.52,-0.67,-0.27,-0.18,-4.74,-0.97,-0.52,-0.27,-0.06,-0.27
19811229,0.05,0.17,-0.85,-0.27,-0.24,-0.36,-1.39,0.07,-0.32,-0.84,-1.62,-1.59,-0.63,-0.45,-0.06
19811230,-0.51,0.67,0.42,-0.17,0.17,-0.32,-0.24,0.43,-0.25,0.81,0.56,0.7,0.27,0.3,0.53
19811231,1.93,0.31,0.52,1.01,1.06,1.58,0.7,0.35,-0.6,-1.03,1.02,1.81,-0.08,0.19,0.5
